title,responsibleOrganisation,publicationDate,category,descriptionFileName,specificationDocuments,documentation,charter,reports,presentations,dateOfRegistration,dateOfAcknowledgementByWorkingGroup,dateOfAcknowledgementBySteeringCommittee,datePublicReviewStart,datePublicReviewEnd,endOfPublicationDate,usage,status
Applicatieprofiel Toeristische Logies Basis,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Toeristische Logies,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Adresregister,true,true,true,true,true,false,true,true,false,true,false,false,false,false,false,true,true
Vocabularium Adres,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Gebouwenregister,true,true,true,true,true,false,true,true,false,true,true,false,false,false,false,true,true
Vocabularium Gebouw,true,true,true,true,true,false,true,true,false,true,true,false,false,false,false,true,true
Applicatieprofiel Inname openbaar domein,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Notificatie Basis,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Vocabularium Notificatie,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Vocabularium Melding,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Applicatieprofiel Issue tracking voor burgers en organisaties,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Applicatieprofiel Generieke Terugmeldfaciliteit,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Applicatieprofiel Dossier,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true
Vocabularium Dossier,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,true
Applicatieprofiel Besluit Subsidies,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Subsidies,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Mobiliteit: Trips en Aanbod,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Mobiliteit Trips en Aanbod,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Netwerk,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Transportnetwerk,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel DCAT-AP VL,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true
Generieke Hypermedia API,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Toestemming,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Applicatieprofiel Contactvoorkeuren,true,true,true,true,true,false,true,true,false,true,true,true,false,false,false,true,true
Vocabularium Perceel,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true
Applicatieprofiel Perceel,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true
Vocabularium Bedrijventerrein,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true
Applicatieprofiel Bedrijventerrein,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true
Vocabularium Mandaat,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Mandatendatabank,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Besluit,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Besluit Publicatie,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Bestuur,true,true,true,true,true,false,true,false,false,true,true,true,false,false,false,true,true
Proces en methode voor de ontwikkeling en erkenning van data standaarden,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Proces en methode voor de ontwikkeling en erkenning van data standaarden voor Agentschap Wegen en Verkeer,true,true,true,true,true,false,true,false,false,true,true,true,false,false,false,true,true
Vlaamse URI-Standaard voor Data,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Conceptueel Gegevensmodel Openbaar Domein,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Uitbreiding Gebieden (Vocabularium),true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Uitbreiding Infrastructuurelementen (Vocabularium),true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Uitbreiding Vegetatie-elementen (Vocabularium),true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Uitbreiding Terreindelen (Vocabularium),true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Uitbreiding Waterdelen (Vocabularium),true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Uitbreiding Begraafplaats (Vocabularium),true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Openbaar Domein,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Applicatieprofiel Infrastructuurelementen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Applicatieprofiel Vegetatie-elementen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Applicatieprofiel Terreindelen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Applicatieprofiel Begroeid Voorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Applicatieprofiel Onbegroeid Voorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Applicatieprofiel Waterdelen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Applicatieprofiel Water voorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein - Applicatieprofiel Begraafplaatsenbeheer,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Verkeersborden,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Applicatieprofiel Besluitvorming,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Besluitvorming,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Cultureel Erfgoed Event,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Cultureel Erfgoed Object,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Vocabularium Cultureel Erfgoed,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,true,true
Applicatieprofiel Besluit Mobiliteit,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
Vocabularium Mobiliteit,true,true,true,true,true,false,true,false,true,true,false,false,false,false,false,true,true
Applicatieprofiel Generiek basis,true,true,true,false,true,false,true,false,false,false,false,false,false,false,false,true,true
Vocabularium Generiek,true,true,true,false,true,false,true,false,false,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Begraafplaatsenbeheer,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Begraafplaatsen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Begroeid Voorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Gebieden,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Infrastructuurelementen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Onbegroeid Voorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Basisprofiel Openbaar Domein,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Terreindelen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Vegetatie-elementen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Waterdelen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Applicatieprofiel Watervoorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Uitbreiding Begraafplaats,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Uitbreiding Begroeid Voorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Uitbreiding Gebied,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Uitbreiding Infrastructuur,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Uitbreiding Onbegroeid Voorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
